abbreviation,platform,status,testingInGithubActions
bigquery,Google BigQuery,Supported,
duckdb,DuckDB,Supported,Yes
hive,Apache Hive,Deprecated,
impala,Apache Impala,Deprecated,
netezza,IBM Netezza,Deprecated,
oracle,Oracle,Supported,Yes
pdw,Microsoft Parallel Data Warehouse,Deprecated,
postgresql,PostgreSQL,Supported,Yes
redshift,Amazon RedShift,Supported,Yes
snowflake,Snowflake,Supported,
spark,Apache Spark,Supported,
sql server,Microsoft SQL Server,Supported,Yes
sqlite,SQLite,Supported,Yes
synapse,Azure Synapse Analytics Dedicated,Supported,
